I08Y3-0000,AUXCOM35                 ,2  ,100.00000,2011-04-01 08:27:00.000,10,145-CAT,2011-04-11 07:11:00.000,2011-04-11 09:09:00.000
I08Y3-0000,AUXCOM35                 ,2  ,100.00000,2011-04-01 08:27:00.000,20,80-CAT ,2011-06-23 07:36:00.000,2011-06-23 09:48:00.000
I09VH-0000,004080829                ,03 ,60.00000,2011-06-13 23:59:00.000,10,240    ,2011-06-21 14:28:00.000,2011-06-22 07:10:00.000
I09VH-0000,004080829                ,03 ,60.00000,2011-06-13 23:59:00.000,20,91     ,2011-06-30 12:10:00.000,2011-06-30 12:11:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,10,17     ,2011-06-01 12:50:00.000,2011-06-01 13:44:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,20,50     ,2011-06-02 15:00:00.000,2011-06-02 15:41:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,30,65     ,2011-06-07 07:32:00.000,2011-06-07 08:08:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,40,65     ,2011-06-07 09:10:00.000,2011-06-07 10:46:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,50,140    ,2011-06-23 07:46:00.000,2011-06-23 08:17:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,60,SUBIPC ,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000
I09DL-0004,00408082603              ,03 ,30.00000,2011-06-14 14:18:00.000,70,91     ,2011-06-23 08:47:00.000,2011-06-23 09:18:00.000
I09ZX-0000,FM103111V1               ,C  ,1000.00000,2011-06-15 12:14:00.000,10,15     ,2011-06-21 08:13:00.000,2011-06-22 08:33:00.000
I09ZX-0000,FM103111V1               ,C  ,1000.00000,2011-06-15 12:14:00.000,20,35     ,2011-06-21 18:01:00.000,2011-06-22 15:45:00.000
I09ZX-0000,FM103111V1               ,C  ,1000.00000,2011-06-15 12:14:00.000,30,90     ,2011-06-23 07:46:00.000,2011-06-23 07:47:00.000
I09ZX-0000,FM103111V1               ,C  ,1000.00000,2011-06-15 12:14:00.000,40,96     ,2011-06-24 05:00:00.000,2011-06-24 07:18:00.000
I0A8P-0000,CRHB121                  ,3  ,100.00000,2011-06-15 13:12:00.000,10,17-CAT ,2011-06-22 15:00:00.000,2011-06-22 15:55:00.000
I0A8P-0000,CRHB121                  ,3  ,100.00000,2011-06-15 13:12:00.000,20,35-CAT ,2011-06-23 07:46:00.000,2011-06-23 08:48:00.000
I0A8P-0000,CRHB121                  ,3  ,100.00000,2011-06-15 13:12:00.000,30,140    ,2011-06-23 09:18:00.000,2011-06-23 09:49:00.000
I0A8P-0000,CRHB121                  ,3  ,100.00000,2011-06-15 13:12:00.000,40,SUBPREC,2011-06-23 11:49:00.000,2011-06-28 11:49:00.000
I0A5Z-0000,ER1095-03-BT             ,4  ,1.00000,2011-06-16 00:00:00.000,10,240-CAT,2011-07-22 09:06:00.000,2011-07-22 09:13:00.000
I0A2A-0002,LEERRF100SIDE            ,   ,40.00000,2011-06-16 08:15:00.000,10,15     ,2011-06-16 15:06:00.000,2011-06-16 16:57:00.000
I0A2A-0002,LEERRF100SIDE            ,   ,40.00000,2011-06-16 08:15:00.000,20,35     ,2011-06-20 07:18:00.000,2011-06-20 08:38:00.000
I0A2A-0002,LEERRF100SIDE            ,   ,40.00000,2011-06-16 08:15:00.000,30,90     ,2011-06-23 07:46:00.000,2011-06-23 08:17:00.000
I0A2A-0002,LEERRF100SIDE            ,   ,40.00000,2011-06-16 08:15:00.000,40,96     ,2011-06-24 05:00:00.000,2011-06-24 05:57:00.000
I0A2A-0003,LEERRF100TOPTRIM         ,   ,20.00000,2011-06-16 08:15:00.000,10,15     ,2011-06-17 07:38:00.000,2011-06-17 08:36:00.000
I0A2A-0003,LEERRF100TOPTRIM         ,   ,20.00000,2011-06-16 08:15:00.000,20,35     ,2011-06-20 09:40:00.000,2011-06-20 10:15:00.000
I0A2A-0003,LEERRF100TOPTRIM         ,   ,20.00000,2011-06-16 08:15:00.000,30,90     ,2011-06-20 10:15:00.000,2011-06-20 10:46:00.000
I0A2A-0003,LEERRF100TOPTRIM         ,   ,20.00000,2011-06-16 08:15:00.000,40,96     ,2011-06-24 05:00:00.000,2011-06-24 05:19:00.000
I0A28-0002,BEVAIRSIDE               ,   ,40.00000,2011-06-16 08:45:00.000,10,15     ,2011-06-16 16:57:00.000,2011-06-16 18:48:00.000
I0A28-0002,BEVAIRSIDE               ,   ,40.00000,2011-06-16 08:45:00.000,20,35     ,2011-06-20 08:34:00.000,2011-06-20 09:56:00.000
I0A28-0002,BEVAIRSIDE               ,   ,40.00000,2011-06-16 08:45:00.000,30,90     ,2011-06-23 07:46:00.000,2011-06-23 08:17:00.000
I0A28-0002,BEVAIRSIDE               ,   ,40.00000,2011-06-16 08:45:00.000,40,96     ,2011-06-24 05:00:00.000,2011-06-24 05:44:00.000
I0A40-0000,5004712                  ,-  ,212.00000,2011-06-16 10:39:00.000,10,15     ,2011-06-21 19:58:00.000,2011-06-22 07:43:00.000
I0A40-0000,5004712                  ,-  ,212.00000,2011-06-16 10:39:00.000,20,35     ,2011-06-23 07:46:00.000,2011-06-23 10:52:00.000
I0A40-0000,5004712                  ,-  ,212.00000,2011-06-16 10:39:00.000,30,90     ,2011-06-23 11:22:00.000,2011-06-23 11:53:00.000
